corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
89,jbda-igacity-communitybus,伊賀市,JP,https://files.mobilitydatabase.org/jbda-igacity-communitybus/latest.zip,ok,49797,a69cb711d35753f303451496ade1cdb0fd8f58af84ad23349cdfab08001ab778,completed,1,312,0.01,10796,completed,0,3457,5,2.41,363840,0.365697562
90,jbda-iijimatown-iichanbus,飯島町,JP,https://files.mobilitydatabase.org/jbda-iijimatown-iichanbus/latest.zip,ok,4292,9526a6395619e58ee4db7ead634b26af191986b243f9c8176b6419427807c922,completed,1,54,0.0,7624,completed,0,149,8,3.63,319212,0.387332258
91,jbda-iiyamacity-nanohanabus,飯山市,JP,https://files.mobilitydatabase.org/jbda-iiyamacity-nanohanabus/latest.zip,ok,7018,1de05bb2f87aebfc5458ef469f1542cadbb11a25842e7412d0c505a2d15bd56f,completed,1,53,0.0,7648,completed,0,237,5,5.66,317124,0.41297652
92,jbda-imaricity-imarinbus,伊万里市,JP,https://files.mobilitydatabase.org/jbda-imaricity-imarinbus/latest.zip,ok,98650,2a9d41782ab0a9dee6c92e8d9bac0ad1f33612dfa0245e585f4eea0efd05e9f0,completed,1,150,0.02,9744,completed,0,1523,3,7.4,338380,0.687187554
93,jbda-imizucity-imizushi,射水市,JP,https://files.mobilitydatabase.org/jbda-imizucity-imizushi/latest.zip,ok,278145,5838a967478fe9a1b0be552cfa16fd23af77b638930866bf271567b628eacd84,completed,1,519,0.06,14932,completed,0,4044,5,5.97,337628,0.932099743
94,jbda-inabecity-fukushibus,いなべ市,JP,https://files.mobilitydatabase.org/jbda-inabecity-fukushibus/latest.zip,ok,46732,4a660c5ce32b4db18d3828c0db9c0c4fd9cf12bae74a3a941df58b586a423912,completed,1,275,0.02,11012,completed,0,3211,3,6.59,288488,0.633576321
95,jbda-inagawatown-fureaibus,猪名川町,JP,https://files.mobilitydatabase.org/jbda-inagawatown-fureaibus/latest.zip,ok,105466,f9c24f3341945b67e136f8a0ab73b0ba1c90c6b00c5fc80fd38d678aa8718238,completed,1,47,0.02,15276,completed,0,483,6,5.86,325168,0.625513187
96,jbda-inotown-GTFS-Inotown_HongawaArea,いの町,JP,https://files.mobilitydatabase.org/jbda-inotown-GTFS-Inotown_HongawaArea/latest.zip,ok,53756,02f8f19b5dc093fea22b7444d530d350e4242b67a8119ebea97ea375a8e4e40b,completed,1,80,0.01,8228,completed,0,469,2,5.71,343940,0.509538031
97,jbda-inotown-GTFS-Inotown_Loopbus,いの町,JP,https://files.mobilitydatabase.org/jbda-inotown-GTFS-Inotown_Loopbus/latest.zip,ok,25317,8010becbd26fc357e0ed4c58ec3ae6f061726ee9f537dd9c40004f7cff7cdcfc,completed,1,69,0.01,9700,completed,0,2349,2,6.14,292892,0.572784076
98,jbda-inzaicity-rosenbus,印西市,JP,https://files.mobilitydatabase.org/jbda-inzaicity-rosenbus/latest.zip,ok,142319,9c7939101d6f0821bc7382459a8793d4eba3d303297b2ceee11baf0158afa7b9,completed,1,42,0.02,9620,completed,0,2182,3,5.05,322340,0.624452338
